# Y I — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 3 fetch 4).
# destination_url VERIFIED: energy1.pl?...spectrum=Y+I...format=2&units=0 (cm-1)
# 4d-metal neutral (a 2D ground). Seniority-lettered terms (a/b/z/y/x/w/v).
# REFUSAL FORMS BEYOND ANYTHING PRIOR: bare NUMERIC term labels 1.1-1.5*
# and 2, 3 with empty configs; two levels with NO config AND NO term (J and
# energy only); config "4d3 <1>" / "4d3 <2>" seniority tags; g/h 4F terms
# with EMPTY configs; and ONE QUESTIONED CONFIG "5p2.(3P).4d?" — the source
# doubts its own assignment. One level ABOVE the limit (g 4P 5/2 at 50254.0).
# Limit: Y II (5s2 1S<0>) 50145.6. q flags carried.
Configuration	Term	J	Level_cm-1	Flag
4d.5s2	a 2D	3/2	0.000	
4d.5s2	a 2D	5/2	530.351	
5s2.5p	z 2P*	1/2	10529.169	
5s2.5p	z 2P*	3/2	11359.757	
4d2.(3F).5s	a 4F	3/2	10937.390	
4d2.(3F).5s	a 4F	5/2	11078.614	
4d2.(3F).5s	a 4F	7/2	11277.928	
4d2.(3F).5s	a 4F	9/2	11532.096	
4d.5s.(3D).5p	z 4F*	3/2	14948.994	
4d.5s.(3D).5p	z 4F*	5/2	15245.803	
4d.5s.(3D).5p	z 4F*	7/2	15712.522	
4d.5s.(3D).5p	z 4F*	9/2	16234.382	
4d2.(3P).5s	a 4P	1/2	15221.633	
4d2.(3P).5s	a 4P	3/2	15328.865	
4d2.(3P).5s	a 4P	5/2	15476.533	
4d2.(3F).5s	a 2F	5/2	15326.741	
4d2.(3F).5s	a 2F	7/2	15864.481	
4d2.(1D).5s	b 2D	3/2	15994.045	
4d2.(1D).5s	b 2D	5/2	16158.865	
4d.5s.(3D).5p	z 2D*	5/2	16066.064	
4d.5s.(3D).5p	z 2D*	3/2	16146.138	
4d.5s.(3D).5p	z 4D*	1/2	16435.907	
4d.5s.(3D).5p	z 4D*	3/2	16597.304	
4d.5s.(3D).5p	z 4D*	5/2	16816.641	
4d.5s.(3D).5p	z 4D*	7/2	17116.156	
4d2.(1G).5s	a 2G	9/2	18499.315	
4d2.(1G).5s	a 2G	7/2	18512.402	
4d.5s.(3D).5p	z 4P*	1/2	18976.366	
4d.5s.(3D).5p	z 4P*	3/2	19027.593	
4d.5s.(3D).5p	z 4P*	5/2	19147.983	
4d2.(3P).5s	a 2P	1/2	19237.608	
4d2.(3P).5s	a 2P	3/2	19406.146	
4d.5s.(3D).5p	z 2F*	5/2	21528.579	
4d.5s.(3D).5p	z 2F*	7/2	21915.432	
4d2.(1S).5s	2S	1/2	23465.093	
4d.5s.(1D).5p	y 2D*	3/2	24131.250	
4d.5s.(1D).5p	y 2D*	5/2	24746.573	
4d.5s.(3D).5p	y 2P*	3/2	24480.666	
4d.5s.(3D).5p	y 2P*	1/2	24698.850	
4d.5s.(1D).5p	y 2F*	5/2	24518.751	
4d.5s.(1D).5p	y 2F*	7/2	24899.632	
4d.5s.(1D).5p	x 2P*	1/2	27824.647	
4d.5s.(1D).5p	x 2P*	3/2	28139.645	
4d2.(3F).5p	z 4G*	5/2	28694.040	
4d2.(3F).5p	z 4G*	7/2	28988.786	
4d2.(3F).5p	z 4G*	9/2	29364.111	
4d2.(3F).5p	z 4G*	11/2	29820.374	
4d3	b 4F	3/2	29271.979	
4d3	b 4F	5/2	29420.385	
4d3	b 4F	7/2	29613.726	
4d3	b 4F	9/2	29842.640	
4d2.(3F).5p	y 4F*	3/2	31508.441	
4d2.(3F).5p	y 4F*	5/2	31680.043	
4d2.(3F).5p	y 4F*	7/2	31909.164	
4d2.(3F).5p	y 4F*	9/2	32188.075	
5s2.6s	e 2S	1/2	31671.539	
4d3	b 4P	1/2	31977.584	
4d3	b 4P	3/2	32091.016	
4d3	b 4P	5/2	32366.409	
4d3_<1>	2D	3/2	32431.765	
4d3_<1>	2D	5/2	32821.391	
4d.5s.(3D).6s	e 4D	1/2	33148.432	
4d.5s.(3D).6s	e 4D	3/2	33238.011	
4d.5s.(3D).6s	e 4D	5/2	33411.566	
4d.5s.(3D).6s	e 4D	7/2	33752.743	
4d2.(3F).5p	y 4D*	1/2	33215.444	
4d2.(3F).5p	y 4D*	3/2	33265.298	
4d2.(3F).5p	y 4D*	5/2	33357.608	
4d2.(3F).5p	y 4D*	7/2	33614.445	
4d2.(3F).5p	z 2G*	7/2	33432.092	
4d2.(3F).5p	z 2G*	9/2	33788.956	
4d2.(3F).5p	x 2F*	5/2	33608.312	
4d2.(3F).5p	x 2F*	7/2	34029.802	
4d3	2P	1/2	33613.250	
4d3	2P	3/2	33842.417	
