# Zn I — NIST ASD 5.12 · the 3d10.4s.np and .nd Rydberg runs only
# limit Zn II (4s 2S1/2) = 75769.31 cm-1
config	term	J	level_cm1
13p	1P*	1	74846.55
14p	1P*	1	74995.01
15p	1P*	1	75110.32
16p	1P*	1	75201.65
17p	1P*	1	75275.27
18p	1P*	1	75335.49
19p	1P*	1	75385.31
20p	1P*	1	75426.98
21p	1P*	1	75462.30
22p	1P*	1	75492.25
23p	1P*	1	75518.17
24p	1P*	1	75540.55
25p	1P*	1	75560.15
26p	1P*	1	75577.26
27p	1P*	1	75592.39
28p	1P*	1	75605.76
29p	1P*	1	75617.66
30p	1P*	1	75628.35
31p	1P*	1	75637.93
32p	1P*	1	75646.57
33p	1P*	1	75654.41
34p	1P*	1	75661.51
35p	1P*	1	75667.98
36p	1P*	1	75673.82
37p	1P*	1	75679.20
38p	1P*	1	75684.19
39p	1P*	1	75688.77
40p	1P*	1	75692.89
12d	1D	2	74825.04
13d	1D	2	74978.20
14d	1D	2	75097.06
15d	1D	2	75191.08
16d	1D	2	75266.63
17d	1D	2	75328.43
18d	1D	2	75379.31
19d	1D	2	75422.00
20d	1D	2	75458.14
