# Zr I — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 3 fetch 5).
# destination_url VERIFIED: energy1.pl?...spectrum=Zr+I...format=2&units=0 (cm-1)
# NEW REFUSAL FORM: THREE NAMED LEVELS WITH NO ENERGY AT ALL — e 5H J=3,
# f 5F J=1, f 5F J=2 carry config/term/J and an EMPTY level field. The name
# exists; the measurement does not. Also: THREE BRACKETED energies [21600],
# [34995], [38140]; FOUR questioned configs (4d2.5s.6p?, 4d2.5s.5p?,
# 4d2.5s.7p? twice-used); empty-config lettered terms (x 1H*, w 3S*, v 1P*).
# Seniority letters run a..h and z..o. Limit: Zr II (4d2.5s 4F<3/2>) 53507.832.
Configuration	Term	J	Level_cm-1	Flag
4d2.5s2	a 3F	2	0.00	
4d2.5s2	a 3F	3	570.41	
4d2.5s2	a 3F	4	1240.84	
4d2.5s2	a 3P	2	4186.11	
4d2.5s2	a 3P	0	4196.85	
4d2.5s2	a 3P	1	4376.28	
4d3.(4F).5s	a 5F	1	4870.53	
4d3.(4F).5s	a 5F	2	5023.41	
4d3.(4F).5s	a 5F	3	5249.07	
4d3.(4F).5s	a 5F	4	5540.54	
4d3.(4F).5s	a 5F	5	5888.93	
4d2.5s2	a 1D	2	5101.68	
4d2.5s2	a 1G	4	8057.30	
4d3.(4P).5s	a 5P	1	10885.36	
4d3.(4P).5s	a 5P	2	11016.65	
4d3.(4P).5s	a 5P	3	11258.38	
4d3.(4F).5s	b 3F	2	11640.72	
4d3.(4F).5s	b 3F	3	11956.33	
4d3.(4F).5s	b 3F	4	12342.37	
4d3.(2G).5s	a 3G	3	12503.44	
4d3.(2G).5s	a 3G	4	12760.66	
4d3.(2G).5s	a 3G	5	12772.78	
4d3.(b_2D).5s	a 3D	1	14123.01	
4d3.(b_2D).5s	a 3D	2	14348.78	
4d3.(b_2D).5s	a 3D	3	14697.03	
4d2.5s.5p	z 5G*	2	14783.54	
4d2.5s.5p	z 5G*	3	15201.26	
4d2.5s.5p	z 5G*	4	15720.36	
4d2.5s.5p	z 5G*	5	16316.96	
4d2.5s.5p	z 5G*	6	16978.29	
4d3.(2H).5s	a 3H	4	14791.28	
4d3.(2H).5s	a 3H	5	14988.51	
4d3.(2H).5s	a 3H	6	15119.66	
4d3.(4P).5s	b 3P	0	15624.34	
4d3.(4P).5s	b 3P	1	15932.10	
4d3.(4P).5s	b 3P	2	16522.23	
4d2.5s.5p	z 3F*	2	16296.51	
4d2.5s.5p	z 3F*	3	16843.93	
4d2.5s.5p	z 5F*	1	16786.93	
4d2.5s.5p	z 5F*	2	17059.61	
4d2.5s.5p	z 5F*	3	17422.17	
