1s|2S|1/2|0.0000
2p|2P*|1/2|329179.2939406
|  |3/2|329185.15110923
2s|2S|1/2|329179.762313
3p|2P*|1/2|390140.8249696
|  |3/2|390142.5604306
3s|2S|1/2|390140.964517
3d|2D|3/2|390142.55757536
|  |5/2|390143.13600712
4p|2P*|1/2|411477.1227550
|  |3/2|411477.8548989
4s|2S|1/2|411477.1817529
4d|2D|3/2|411477.853680
|  |5/2|411478.097707
4f|2F*|5/2|411478.097267
|  |7/2|411478.219277
5p|2P*|1/2|421352.6789311
|  |3/2|421353.05378699
5s|2S|1/2|421352.709172
5d|2D|3/2|421353.053159
|  |5/2|421353.178101
5f|2F*|5/2|421353.177874
|  |7/2|421353.240343
5g|2G|7/2|421353.2402246
|  |9/2|421353.2777059
6p|2P*|1/2|426717.1361554
|  |3/2|426717.3530854
6s|2S|1/2|426717.1536654
6d|2D|3/2|426717.352717
|  |5/2|426717.425022
6f|2F*|5/2|426717.424890
|  |7/2|426717.461041
6g|2G|7/2|426717.4609726
|  |9/2|426717.4826633
6h|2H*|9/2|426717.48262081
|  |11/2|426717.49708121
7p|2P*|1/2|429951.7150373
|  |3/2|429951.8516453
7s|2S|1/2|429951.7260676
7d|2D|3/2|429951.851412
|  |5/2|429951.896945
7f|2F*|5/2|429951.8968623
|  |7/2|429951.9196283
7g|2G|7/2|429951.9195841
|  |9/2|429951.9332435
7h|2H*|9/2|429951.9332167
|  |11/2|429951.9423230
7i|2I|11/2|429951.94230466
|  |13/2|429951.94880910
8p|2P*|1/2|432051.0711584
|  |3/2|432051.1626754
8s|2S|1/2|432051.0785504
8d|2D|3/2|432051.1625182
|  |5/2|432051.1930212
8f|2F*|5/2|432051.1929662
|  |7/2|432051.2082172
8g|2G|7/2|432051.2081883
|  |9/2|432051.2173390
8h|2H*|9/2|432051.2173210
|  |11/2|432051.2234215
8i|2I|11/2|432051.22340924
|  |13/2|432051.22776674
8k|2K*|13/2|432051.22775782
|  |15/2|432051.23102591
9p|2P*|1/2|433490.3773261
|  |3/2|433490.4416001
9s|2S|1/2|433490.3825181
9d|2D|3/2|433490.4414901
|  |5/2|433490.4629131
9f|2F*|5/2|433490.4628741
|  |7/2|433490.4735861
9g|2G|7/2|433490.4735653
|  |9/2|433490.4799922
9h|2H*|9/2|433490.47997948
|  |11/2|433490.48426408
9i|2I|11/2|433490.48425549
|  |13/2|433490.48731579
9k|2K*|13/2|433490.48730958
|  |15/2|433490.48960487
9l|2L|15/2|433490.489600115
|  |17/2|433490.491385335
10p|2P*|1/2|434519.9013585
|  |3/2|434519.9482148
10s|2S|1/2|434519.9051443
10d|2D|3/2|434519.9481342
|  |5/2|434519.9637522
10f|2F*|5/2|434519.9637232
|  |7/2|434519.9715319
10g|2G|7/2|434519.9715169
