# arXiv:2508.05447 -- Pinky, Kumar, Singh & Jain, Features of Two-Quasiparticle Rotational Bands in Deformed Odd-Odd Nuclei
# CAPTURE TOTAL AGAINST THE PAPER'S OWN CENSUS -- entries 234/234, bands 173/173,
# bandhead states 61/61, all exact; 24 blocks against 24 nuclide sections,
# every block contiguous 1..n.  NOT SEATED: a capture is not an index, and
# seating is the overlap ruling's question.  One entry (164-Lu band 4) carries
# a falling spin sequence; it is the SOURCE's, not a missed boundary -- see
# deformed.discontinuities() and section 2e.
seq	no	A	Z	N	levels	kind	spin_falls
0	1	156	67	89	1	bandhead	
1	2	156	67	89	1	bandhead	
2	3	156	67	89	1	bandhead	
3	4	156	67	89	1	bandhead	
4	5	156	67	89	13	band	
5	6	156	67	89	5	band	
6	7	156	67	89	29	band	
7	8	156	67	89	22	band	
8	9	156	67	89	26	band	
9	10	156	67	89	16	band	
10	11	156	67	89	8	band	
11	1	158	67	91	13	band	
12	2	158	67	91	1	bandhead	
13	3	158	67	91	1	bandhead	
14	4	158	67	91	2	band	
15	5	158	67	91	1	bandhead	
16	6	158	67	91	12	band	
17	7	158	67	91	10	band	
18	8	158	67	91	1	bandhead	
19	9	158	67	91	1	bandhead	
20	10	158	67	91	1	bandhead	
21	11	158	67	91	14	band	
22	12	158	67	91	18	band	
23	1	160	67	93	20	band	
24	2	160	67	93	1	bandhead	
25	3	160	67	93	1	bandhead	
26	4	160	67	93	22	band	
27	5	160	67	93	16	band	
28	6	160	67	93	12	band	
29	1	162	67	95	15	band	
30	2	162	67	95	23	band	
31	3	162	67	95	16	band	
32	4	162	67	95	10	band	
33	5	162	67	95	8	band	
34	6	162	67	95	7	band	
35	1	164	67	97	15	band	
36	2	164	67	97	20	band	
37	3	164	67	97	3	band	
38	4	164	67	97	12	band	
39	5	164	67	97	20	band	
40	6	164	67	97	8	band	
41	7	164	67	97	4	band	
42	8	164	67	97	5	band	
43	1	166	67	99	5	band	
44	2	166	67	99	3	band	
45	3	166	67	99	2	band	
46	4	166	67	99	4	band	
47	5	166	67	99	4	band	
48	6	166	67	99	6	band	
49	7	166	67	99	6	band	
50	8	166	67	99	5	band	
51	9	166	67	99	5	band	
52	10	166	67	99	3	band	
