# arXiv:2508.05447 -- Pinky, Kumar, Singh & Jain, Features of Two-Quasiparticle Rotational Bands in Deformed Odd-Odd Nuclei
# INCOMPLETE CAPTURE -- NOT SEATED.  233 entries against the paper's 234;
# 172 bands against 173; bandhead states 61 against 61 (exact).
# Two entries carry a falling spin sequence and are merged bands;
# splitting both would give 235 against 234, so the gap is NOT
# forced.  See deformed.discontinuities().
seq	A	Z	N	E	2I
0	156	67	89	0	8
1	156	67	89	52.37	2
2	156	67	89	82.23	4
3	156	67	89	117.58	2
4	156	67	89	(A<150)?	18
4	156	67	89	(A+134.27)	22
4	156	67	89	(A+344.57)	24
4	156	67	89	(A+474.04)	26
4	156	67	89	(A+738.1)	28
4	156	67	89	(A+950.4)	30
4	156	67	89	(A+1249.8)	32
4	156	67	89	(A+1533.3)	34
4	156	67	89	(A+1859.7)	36
4	156	67	89	(A+2204.1)	38
4	156	67	89	(A+2552.2)	40
4	156	67	89	(A+2947.7)	42
4	156	67	89	(A+3315.8)	44
5	156	67	89	(A+573.8)	26
5	156	67	89	(A+1105.3)	30
5	156	67	89	(A+1711.1)	34
5	156	67	89	(A+2386)	38
5	156	67	89	(A+2992)	42
6	156	67	89	0+y	16
6	156	67	89	91.0+y	18
6	156	67	89	185.5+y	20
6	156	67	89	320.0+y	22
6	156	67	89	530.2+y	24
6	156	67	89	660.1+y	26
6	156	67	89	923.8+y	28
6	156	67	89	1135.7+y	30
6	156	67	89	1436.3+y	32
6	156	67	89	1719.2+y	34
6	156	67	89	2045.9+y	36
6	156	67	89	2390.0+y	38
6	156	67	89	2738.7+y	40
6	156	67	89	3133.6+y	42
6	156	67	89	3496.3+y	44
6	156	67	89	3930.5+y	46
6	156	67	89	4297.2+y	48
6	156	67	89	4750.8+y	50
6	156	67	89	5123.2+y	52
6	156	67	89	5587.5+y	54
6	156	67	89	5978.3+y	56
6	156	67	89	6464.5+y	58
6	156	67	89	6884.3+y	60
6	156	67	89	7402.5+y	62
6	156	67	89	7854.4+y	64
6	156	67	89	8411+y	66
6	156	67	89	8890+y	68
6	156	67	89	9489+y	70
6	156	67	89	9994+y	72
7	156	67	89	660.5+y	20
7	156	67	89	849.1+y	22
7	156	67	89	1044.0+y	24
7	156	67	89	1267.0+y	26
7	156	67	89	1505.7+y	28
7	156	67	89	1769.6+y	30
7	156	67	89	2037.2+y	32
7	156	67	89	2337.6+y	34
7	156	67	89	2640.1+y	36
7	156	67	89	2969.6+y	38
7	156	67	89	3315.9+y	40
7	156	67	89	3668.8+y	42
7	156	67	89	4066.8+y	44
7	156	67	89	4439.8+y	46
7	156	67	89	4922.8+y	48
7	156	67	89	5301.8+y	50
7	156	67	89	5853.8+y	52
7	156	67	89	6214.8+y	54
7	156	67	89	6809.8+y	56
7	156	67	89	7066.8+y	58
7	156	67	89	7701+y	60
7	156	67	89	8611+y	64
8	156	67	89	0+y	24
8	156	67	89	227.9+y	26
8	156	67	89	484.1+y	28
8	156	67	89	761.7+y	30
8	156	67	89	1056.7+y	32
8	156	67	89	1367.1+y	34
8	156	67	89	1691.0+y	36
8	156	67	89	2023.9+y	38
8	156	67	89	2365.2+y	40
8	156	67	89	2700.1+y	42
8	156	67	89	2984.3+y	44
8	156	67	89	3234.3+y	46
8	156	67	89	3501.4+y	48
8	156	67	89	3789.2+y	50
8	156	67	89	4103.7+y	52
8	156	67	89	4443.3+y	54
8	156	67	89	4804.0+y	56
8	156	67	89	5191.3+y	58
8	156	67	89	5598.0+y	60
8	156	67	89	6030.3+y	62
8	156	67	89	6477.0+y	64
8	156	67	89	6951.3+y	66
8	156	67	89	7436+y	68
8	156	67	89	7945+y	70
8	156	67	89	8467+y	72
8	156	67	89	9016+y	74
9	156	67	89	0+z	22
9	156	67	89	161.9+z	24
9	156	67	89	324.1+z	26
9	156	67	89	541.5+z	28
9	156	67	89	758.1+z	30
9	156	67	89	1023.9+z	32
9	156	67	89	1285.9+z	34
9	156	67	89	1592.1+z	36
9	156	67	89	1891.6+z	38
9	156	67	89	2228.8+z	40
9	156	67	89	2557.7+z	42
9	156	67	89	2902.8+z	44
9	156	67	89	3285.7+z	46
9	156	67	89	3581.8+z	48
9	156	67	89	4039.7+z	50
9	156	67	89	4828.7+z	54
10	156	67	89	0+v	48
10	156	67	89	624+v	52
10	156	67	89	1304+v	56
10	156	67	89	2068+v	60
10	156	67	89	2922+v	64
10	156	67	89	3843+v	68
10	156	67	89	4814+v	72
10	156	67	89	5812+v	76
11	158	67	91	0.0	10
11	158	67	91	102.8	12
11	158	67	91	225.0	14
11	158	67	91	368.0	16
11	158	67	91	531.5	18
11	158	67	91	715.8	20
11	158	67	91	917.2	22
11	158	67	91	1111.4	24
11	158	67	91	1362.0	26
11	158	67	91	1557.2	28
11	158	67	91	1868.3	30
11	158	67	91	2013.7	32
11	158	67	91	2433.8	34
