sg	site	site_order	multiplicity	k	dims	mult	modes
2	0/1,0/1,0/1	2	1	0/1,0/1,0/1	1+1	3+0	3
2	0/1,0/1,1/2	2	1	0/1,0/1,0/1	1+1	3+0	3
2	0/1,1/2,0/1	2	1	0/1,0/1,0/1	1+1	3+0	3
2	0/1,1/2,1/2	2	1	0/1,0/1,0/1	1+1	3+0	3
2	1/2,0/1,0/1	2	1	0/1,0/1,0/1	1+1	3+0	3
2	1/2,0/1,1/2	2	1	0/1,0/1,0/1	1+1	3+0	3
2	1/2,1/2,0/1	2	1	0/1,0/1,0/1	1+1	3+0	3
2	1/2,1/2,1/2	2	1	0/1,0/1,0/1	1+1	3+0	3
2	0/1,0/1,0/1	2	1	1/2,0/1,0/1	1+1	3+0	3
2	0/1,0/1,1/2	2	1	1/2,0/1,0/1	1+1	3+0	3
2	0/1,1/2,0/1	2	1	1/2,0/1,0/1	1+1	3+0	3
2	0/1,1/2,1/2	2	1	1/2,0/1,0/1	1+1	3+0	3
2	1/2,0/1,0/1	2	1	1/2,0/1,0/1	1+1	0+3	3
2	1/2,0/1,1/2	2	1	1/2,0/1,0/1	1+1	0+3	3
2	1/2,1/2,0/1	2	1	1/2,0/1,0/1	1+1	0+3	3
2	1/2,1/2,1/2	2	1	1/2,0/1,0/1	1+1	0+3	3
47	0/1,0/1,0/1	8	1	0/1,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	0/1,0/1,1/2	8	1	0/1,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	0/1,1/2,0/1	8	1	0/1,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	0/1,1/2,1/2	8	1	0/1,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	1/2,0/1,0/1	8	1	0/1,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	1/2,0/1,1/2	8	1	0/1,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	1/2,1/2,0/1	8	1	0/1,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	1/2,1/2,1/2	8	1	0/1,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	0/1,0/1,0/1	8	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	0/1,0/1,1/2	8	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	0/1,1/2,0/1	8	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	0/1,1/2,1/2	8	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
47	1/2,0/1,0/1	8	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+0+1+1+0+1+0+0	3
47	1/2,0/1,1/2	8	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+0+1+1+0+1+0+0	3
47	1/2,1/2,0/1	8	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+0+1+1+0+1+0+0	3
47	1/2,1/2,1/2	8	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+0+1+1+0+1+0+0	3
123	0/1,0/1,0/1	16	1	0/1,0/1,0/1	1+1+1+1+1+1+1+2+2+1	0+0+0+1+0+0+0+0+1+0	3
123	0/1,0/1,1/2	16	1	0/1,0/1,0/1	1+1+1+1+1+1+1+2+2+1	0+0+0+1+0+0+0+0+1+0	3
123	0/1,1/2,0/1	8	2	0/1,0/1,0/1	1+1+1+1+1+1+1+2+2+1	0+0+0+1+1+0+0+0+2+0	6
123	0/1,1/2,1/2	8	2	0/1,0/1,0/1	1+1+1+1+1+1+1+2+2+1	0+0+0+1+1+0+0+0+2+0	6
123	1/2,0/1,0/1	8	2	0/1,0/1,0/1	1+1+1+1+1+1+1+2+2+1	0+0+0+1+1+0+0+0+2+0	6
123	1/2,0/1,1/2	8	2	0/1,0/1,0/1	1+1+1+1+1+1+1+2+2+1	0+0+0+1+1+0+0+0+2+0	6
123	1/2,1/2,0/1	16	1	0/1,0/1,0/1	1+1+1+1+1+1+1+2+2+1	0+0+0+1+0+0+0+0+1+0	3
123	1/2,1/2,1/2	16	1	0/1,0/1,0/1	1+1+1+1+1+1+1+2+2+1	0+0+0+1+0+0+0+0+1+0	3
123	0/1,0/1,0/1	16	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
123	0/1,0/1,1/2	16	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+0+0+0+0+1+1	3
123	0/1,1/2,0/1	8	2	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+1+1+0+1+1+1	6
123	0/1,1/2,1/2	8	2	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+1+1+0+1+1+1	6
123	1/2,0/1,0/1	8	2	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+1+1+0+1+1+1	6
123	1/2,0/1,1/2	8	2	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+1+1+1+0+1+1+1	6
123	1/2,1/2,0/1	16	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+0+1+1+0+1+0+0	3
123	1/2,1/2,1/2	16	1	1/2,0/1,0/1	1+1+1+1+1+1+1+1	0+0+1+1+0+1+0+0	3
