sg	name	cartesian_2pi_over_a	k_primitive	star	little_order	dim_fixed_space	verdict
221	Gamma	0/1,0/1,0/1	0/1,0/1,0/1	1	48	0	FOUND
221	X	0/1,1/2,0/1	0/1,1/2,0/1	3	16	0	FOUND
221	M	1/2,1/2,0/1	1/2,1/2,0/1	3	16	0	FOUND
221	R	1/2,1/2,1/2	1/2,1/2,1/2	1	48	0	FOUND
225	Gamma	0/1,0/1,0/1	0/1,0/1,0/1	1	48	0	FOUND
225	X	0/1,1/1,0/1	0/1,1/2,0/1	3	16	0	FOUND
225	L	1/2,1/2,1/2	1/2,0/1,1/2	4	12	0	FOUND
225	W	1/2,1/1,0/1	1/2,1/4,1/4	6	8	0	FOUND
225	K	3/4,3/4,0/1	1/4,0/1,3/8	12	4	1	NOT-ISOLATED
225	U	1/4,1/1,1/4	3/4,3/8,1/4	12	4	1	NOT-ISOLATED (same star as an earlier row)
229	Gamma	0/1,0/1,0/1	0/1,0/1,0/1	1	48	0	FOUND
229	H	0/1,0/1,1/1	0/1,0/1,1/2	1	48	0	FOUND
229	P	1/2,1/2,1/2	1/2,0/1,3/4	2	24	0	FOUND
229	N	1/2,1/2,0/1	1/2,0/1,1/2	6	8	0	FOUND
