sg	system	bravais	pg_order	k	star	little_order	m	nontrivial_multiplier	n_smallreps	dims	max_dim	sticking
2	triclinic	aP	2	0/1,0/1,0/1	1	2	1	0	2	1+1	1	0
2	triclinic	aP	2	0/1,0/1,1/2	1	2	1	0	2	1+1	1	0
2	triclinic	aP	2	0/1,1/2,0/1	1	2	1	0	2	1+1	1	0
2	triclinic	aP	2	0/1,1/2,1/2	1	2	1	0	2	1+1	1	0
2	triclinic	aP	2	1/2,0/1,0/1	1	2	1	0	2	1+1	1	0
2	triclinic	aP	2	1/2,0/1,1/2	1	2	1	0	2	1+1	1	0
2	triclinic	aP	2	1/2,1/2,0/1	1	2	1	0	2	1+1	1	0
2	triclinic	aP	2	1/2,1/2,1/2	1	2	1	0	2	1+1	1	0
10	monoclinic	mP	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
10	monoclinic	mP	4	0/1,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
10	monoclinic	mP	4	0/1,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
10	monoclinic	mP	4	0/1,1/2,1/2	1	4	1	0	4	1+1+1+1	1	0
10	monoclinic	mP	4	1/2,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
10	monoclinic	mP	4	1/2,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
10	monoclinic	mP	4	1/2,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
10	monoclinic	mP	4	1/2,1/2,1/2	1	4	1	0	4	1+1+1+1	1	0
11	monoclinic	mP	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
11	monoclinic	mP	4	0/1,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
11	monoclinic	mP	4	0/1,1/2,0/1	1	4	2	1	1	2	2	1
11	monoclinic	mP	4	0/1,1/2,1/2	1	4	2	1	1	2	2	1
11	monoclinic	mP	4	1/2,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
11	monoclinic	mP	4	1/2,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
11	monoclinic	mP	4	1/2,1/2,0/1	1	4	2	1	1	2	2	1
11	monoclinic	mP	4	1/2,1/2,1/2	1	4	2	1	1	2	2	1
12	monoclinic	mS	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
12	monoclinic	mS	4	0/1,0/1,1/2	1	4	1	0	4	1+1+1+1	1	0
12	monoclinic	mS	4	0/1,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
12	monoclinic	mS	4	0/1,1/2,1/2	1	4	1	0	4	1+1+1+1	1	0
12	monoclinic	mS	4	1/2,0/1,1/2	2	2	1	0	2	1+1	1	0
12	monoclinic	mS	4	1/2,1/2,0/1	2	2	1	0	2	1+1	1	0
13	monoclinic	mP	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
13	monoclinic	mP	4	0/1,0/1,1/2	1	4	2	1	1	2	2	1
13	monoclinic	mP	4	0/1,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
13	monoclinic	mP	4	0/1,1/2,1/2	1	4	2	1	1	2	2	1
13	monoclinic	mP	4	1/2,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
13	monoclinic	mP	4	1/2,0/1,1/2	1	4	2	1	1	2	2	1
13	monoclinic	mP	4	1/2,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
13	monoclinic	mP	4	1/2,1/2,1/2	1	4	2	1	1	2	2	1
14	monoclinic	mP	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
14	monoclinic	mP	4	0/1,0/1,1/2	1	4	2	1	1	2	2	1
14	monoclinic	mP	4	0/1,1/2,0/1	1	4	2	1	1	2	2	1
14	monoclinic	mP	4	0/1,1/2,1/2	1	4	2	0	4	1+1+1+1	1	0
14	monoclinic	mP	4	1/2,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
14	monoclinic	mP	4	1/2,0/1,1/2	1	4	2	1	1	2	2	1
14	monoclinic	mP	4	1/2,1/2,0/1	1	4	2	1	1	2	2	1
14	monoclinic	mP	4	1/2,1/2,1/2	1	4	2	0	4	1+1+1+1	1	0
15	monoclinic	mS	4	0/1,0/1,0/1	1	4	1	0	4	1+1+1+1	1	0
15	monoclinic	mS	4	0/1,0/1,1/2	1	4	2	1	1	2	2	1
15	monoclinic	mS	4	0/1,1/2,0/1	1	4	1	0	4	1+1+1+1	1	0
15	monoclinic	mS	4	0/1,1/2,1/2	1	4	2	1	1	2	2	1
15	monoclinic	mS	4	1/2,0/1,1/2	2	2	1	0	2	1+1	1	0
15	monoclinic	mS	4	1/2,1/2,0/1	2	2	1	0	2	1+1	1	0
