# arXiv:2303.13849 -- Teng & Ma, Magnetic and antimagnetic rotational bands data tables
# source arxiv-2303.13849.txt md5 1847412451a8fff4d81f4dfde0fc07d9
# Z from mendeleev 1.3.0.  Regenerate: python3 nbcapture.py --write
# status NO-SPIN: the source prints no I^pi column for this band
table	A	Z	el	band	levels	head_E	head_2I	head_par	status
MR	58	26	Fe	1	8	7657.8	16		PLACED
MR	58	26	Fe	2	5	7524.2	16		PLACED
MR	61	27	Co	1	6	3909.5	13	-1	PLACED
MR	61	27	Co	2	8	3472.3	13	-1	PLACED
MR	61	27	Co	3	6	4484.7	15	-1	PLACED
MR	61	27	Co	4	6	5723.7	17	-1	PLACED
MR	60	28	Ni	1	7	8044.1	18	-1	PLACED
MR	60	28	Ni	2	6	11255.0	24	1	PLACED
MR	60	28	Ni	3	7	11224.8	22	1	PLACED
MR	60	28	Ni	4	5	8485.3	18	-1	PLACED
MR	61	28	Ni	1	6	5146.1	15	1	PLACED
MR	77	35	Br	1	4	2931.6	17	-1	PLACED
MR	79	35	Br	1	9	2393	13	-1	PLACED
MR	81	35	Br	1	5	2549.4	13	-1	PLACED
MR	79	36	Kr	1	4	2857.0	17	-1	PLACED
MR	81	36	Kr	1	9	2418.4	13	-1	PLACED
MR	83	36	Kr	1	8	2510.0	13	-1	PLACED
MR	79	37	Rb	1	5	3308.9	19	-1	PLACED
MR	81	37	Rb	1	6	2636.2	15	-1	PLACED
MR	82	37	Rb	1	6	2616.3	22	-1	PLACED
MR	83	37	Rb	1	7	2067.2	11	-1	PLACED
MR	83	37	Rb	2	6	5970.1	29	-1	PLACED
MR	84	37	Rb	1	8	3339	20	-1	PLACED
MR	85	37	Rb	1	4	3198.2	17	-1	PLACED
MR	85	38	Sr	1	7	3384.0	19	1	PLACED
MR	85	38	Sr	2	6	4779.6	21	1	PLACED
MR	86	38	Sr	1	5	6878.0	24	1	PLACED
MR	86	39	Y	1	6	2758	22	-1	PLACED
MR	86	39	Y	2	5	6412	34	-1	PLACED
MR	85	40	Zr	1	10	2625	17	-1	PLACED
MR	87	40	Zr	1	5	2896.5	21	1	PLACED
MR	90	40	Zr	1	4	7194.32	22	1	PLACED
MR	105	45	Rh	1	6	2981.6	23	1	PLACED
MR	105	45	Rh	2	9	2019.2	13	-1	PLACED
MR	105	45	Rh	3	6	2417.3	15	-1	PLACED
MR	105	45	Rh	4	6	2477.1	17	-1	PLACED
MR	103	47	Ag	1	9	3439	21	-1	PLACED
MR	103	47	Ag	2	7	5336.5	27	-1	PLACED
MR	103	47	Ag	3	9	3221.4	17	-1	PLACED
MR	103	47	Ag	4	8	3104.0	19	-1	PLACED
MR	104	47	Ag	1	11	1077.2	16	-1	PLACED
MR	104	47	Ag	2	5	3040.2	24	-1	PLACED
MR	104	47	Ag	3	7	4424.1	28	1	PLACED
MR	105	47	Ag	1	10	3909	23	1	PLACED
MR	105	47	Ag	2	12	2470	15	-1	PLACED
MR	106	47	Ag	1	14	3258.59	24	1	PLACED
MR	106	47	Ag	2	12	3203.7	20	-1	PLACED
MR	107	47	Ag	1	8	3334.8	23	1	PLACED
MR	107	47	Ag	2	8	2416.4	19	-1	PLACED
MR	109	47	Ag	1	10	3091.8	23	1	PLACED
MR	109	47	Ag	2	8	2420.8	17	-1	PLACED
MR	110	47	Ag	1	8	2638	24	1	PLACED
MR	102	48	Cd	1	8	3908.5	20	1	PLACED
MR	104	48	Cd	1	6	4102.1	20	1	PLACED
MR	107	48	Cd	1	11	5031.0	29	-1	PLACED
MR	108	48	Cd	1	11	5642.0	24	-1	PLACED
MR	108	48	Cd	2	10	7216.0	30	-1	PLACED
MR	109	48	Cd	1	10	3354	21	-1	PLACED
MR	109	48	Cd	2	11	5811	29	1	PLACED
MR	110	48	Cd	1	5	5759	26	-1	PLACED
MR	110	48	Cd	2	4	6584	28		PLACED
MR	110	48	Cd	3	8	8017	34		PLACED
MR	107	49	In	1	8	3441.5	21	-1	PLACED
MR	108	49	In	1	6	1119.4	16	-1	PLACED
MR	108	49	In	2	8	2515.4	20	-1	PLACED
MR	108	49	In	3	10	4331.2	26	1	PLACED
MR	109	49	In	1	8	3092.0	19	-1	PLACED
MR	110	49	In	1	6	2596.8	24	-1	PLACED
MR	110	49	In	2	13	3326.9	22	1	PLACED
MR	111	49	In	1	9	4931.8	27	1	PLACED
MR	111	49	In	2	8	3461.0	19	1	PLACED
MR	111	49	In	3	6	X	31	-1	PLACED
MR	112	49	In	1	8	3062	24	1	PLACED
MR	113	49	In	1	9	2233	15	-1	PLACED
MR	113	49	In	2	8	3122	21	1	PLACED
MR	113	49	In	3	8	4459	25	1	PLACED
MR	114	49	In	1	6	2532	22	1	PLACED
MR	105	50	Sn	1	8	7043	29	1	PLACED
MR	106	50	Sn	1	8	8013.6	30	-1	PLACED
MR	106	50	Sn	2	6	9236.1	34	-1	PLACED
MR	108	50	Sn	1	9	6665.0	24	-1	PLACED
MR	108	50	Sn	2	7	8103.0	32	-1	PLACED
MR	108	51	Sb	1	13	2155.0	14	-1	PLACED
MR	108	51	Sb	2	11	2754.0	20	-1	PLACED
MR	112	51	Sb	1	11	1675.0	14	-1	PLACED
MR	112	51	Sb	2	10	X	20	1	PLACED
MR	116	51	Sb	1	6	3004.9	22	1	PLACED
MR	135	52	Te	1	9	4023.4	19	-1	PLACED
MR	123	54	Xe	1	9	X	31	-1	PLACED
MR	124	54	Xe	1	13	5051	24		PLACED
MR	131	55	Cs	1	8	2554.9	17	1	PLACED
MR	131	55	Cs	2	6	3465.3	25	-1	PLACED
MR	128	56	Ba	1	15	4651.4	22	-1	PLACED
MR	130	56	Ba	1	6	5960.6	30	-1	PLACED
MR	132	56	Ba	1	8	4811	22	1	PLACED
MR	132	56	Ba	2	6	5721	28	-1	PLACED
MR	134	56	Ba	1	7	5677.9	28	-1	PLACED
MR	135	56	Ba	1	9	3082.9	21	1	PLACED
MR	135	56	Ba	2	4	5355.6	31	-1	PLACED
MR	131	57	La	1	4	2121.8	21	-1	PLACED
MR	131	57	La	2	13	2476.7	19	-1	PLACED
MR	133	57	La	1	10	3599.4	27	-1	PLACED
MR	135	57	La	1	7	3501.4	25	-1	PLACED
MR	135	57	La	2	7	5049.5	31	-1	PLACED
MR	134	58	Ce	1	7	5594	28	-1	PLACED
MR	135	58	Ce	1	9	3229.8	23	1	PLACED
MR	135	58	Ce	2	9	4183.8	27	-1	PLACED
MR	135	58	Ce	3	9	4498.8	27	-1	PLACED
MR	136	58	Ce	1	10	5645	28	-1	PLACED
MR	136	58	Ce	2	5	5305	30	1	PLACED
MR	136	58	Ce	3	8	5643	32	1	PLACED
MR	138	58	Ce	1	8	6536.3	30	-1	PLACED
MR	139	58	Ce	1	7	5698.9	31	-1	PLACED
MR	133	59	Pr	1	11	3253.0	21	-1	PLACED
MR	133	59	Pr	2	10	2203.9	19	1	PLACED
MR	133	59	Pr	3	13	4108.1	29	-1	PLACED
MR	133	59	Pr	4	5	2035.1	21	-1	PLACED
MR	135	59	Pr	1	10	3380.6	25	-1	PLACED
MR	137	59	Pr	1	12	3438.4	25	-1	PLACED
MR	134	60	Nd	1	6	2294.2	16	-1	PLACED
MR	134	60	Nd	2	8	4514.5	24	-1	PLACED
MR	134	60	Nd	3	14	4985.5	28	-1	PLACED
MR	136	60	Nd	1	8	3782	18	-1	PLACED
MR	136	60	Nd	2	12	6232	30	1	PLACED
MR	136	60	Nd	3	14	6010	32	1	PLACED
MR	136	60	Nd	4	12	3875	22	-1	PLACED
MR	136	60	Nd	5	6	8381	44	1	PLACED
MR	137	60	Nd	1	11	3896	27	-1	PLACED
MR	137	60	Nd	2	11	4822	31	-1	PLACED
MR	137	60	Nd	3	11	5597	33	1	PLACED
MR	138	60	Nd	1	8	5577	28		PLACED
MR	138	60	Nd	2	7	7830	38	1	PLACED
MR	139	60	Nd	1	9	3839.7	25	-1	PLACED
MR	141	60	Nd	1	12	5648	27	-1	PLACED
MR	141	60	Nd	2	9	7317	37	-1	PLACED
MR	141	60	Nd	3	6	9363	47	1	PLACED
MR	139	61	Pm	1	7	3157.9	25	-1	PLACED
MR	139	61	Pm	2	7	5183.2	35	-1	PLACED
MR	139	62	Sm	1	9	3253.4	23	-1	PLACED
MR	141	62	Sm	1	6	3377.0	25	-1	PLACED
MR	142	62	Sm	1	7	6459.3	32	-1	PLACED
MR	143	62	Sm	1	6	8613.8	43	-1	PLACED
MR	143	62	Sm	2	6	10081.1	49	-1	PLACED
MR	141	63	Eu	1	6	3007.6	25	-1	PLACED
MR	141	63	Eu	2	5	5018.9	37	-1	PLACED
MR	141	63	Eu	3	0				NO-SPIN
MR	142	63	Eu	1	11	376.0+X	20	1	PLACED
MR	142	63	Eu	2	9	2484.0+Y	26	-1	PLACED
MR	143	63	Eu	1	7	5869.0	35	1	PLACED
MR	143	63	Eu	2	6	7272.7	41	-1	PLACED
MR	142	64	Gd	1	7	5915.0	32	1	PLACED
MR	142	64	Gd	2	7	7782.0	44	1	PLACED
MR	142	64	Gd	3	7	5420.0	30	-1	PLACED
MR	142	64	Gd	4	6	7844.0	42	-1	PLACED
MR	142	64	Gd	5	9	4768.0	24	-1	PLACED
MR	143	64	Gd	1	5	3087.2	23	-1	PLACED
MR	143	64	Gd	2	8	4488.8	33	-1	PLACED
MR	143	64	Gd	3	10	5226.3	33	1	PLACED
MR	144	64	Gd	1	10	5370.7	28	1	PLACED
MR	144	65	Tb	1	4	3515.3	32	1	PLACED
MR	146	65	Tb	1	1	X	46	1	PLACED
MR	144	66	Dy	1	11	5152.0	30	-1	PLACED
MR	190	80	Hg	1	17	4954	34	-1	PLACED
MR	190	80	Hg	2	11	5640	34	1	PLACED
MR	190	80	Hg	3	0				NO-SPIN
MR	192	80	Hg	1	12	6879	46	-1	PLACED
MR	192	80	Hg	2	13	6304	44	1	PLACED
MR	193	80	Hg	1	12	6278.7	53	-1	PLACED
MR	193	80	Hg	2	11	5198.4	47	-1	PLACED
MR	193	80	Hg	3	13	5407.0	47	1	PLACED
MR	195	80	Hg	1	8	7236	57	-1	PLACED
MR	195	80	Hg	2	11	5000	43	1	PLACED
MR	195	80	Hg	3	0				NO-SPIN
MR	196	80	Hg	1	9	6444.6	40	-1	PLACED
MR	194	81	Tl	1	6	2516.4	32	-1	PLACED
MR	197	81	Tl	1	6	3106.2	25	1	PLACED
MR	197	81	Tl	2	7	3758.1	27	1	PLACED
MR	189	82	Pb	1	7	2475	31	-1	PLACED
MR	191	82	Pb	1	9	2577.5+X	29	-1	PLACED
MR	191	82	Pb	2	4	2428.7	27	1	PLACED
MR	192	82	Pb	1	8	4241.2	30	-1	PLACED
MR	192	82	Pb	2	8	4963.0	36	-1	PLACED
MR	193	82	Pb	1	9	2584.8+X	29	-1	PLACED
MR	193	82	Pb	2	12	4297.7+Y	39	1	PLACED
MR	193	82	Pb	3	5	4944.8+Z	43	1	PLACED
MR	193	82	Pb	4	7	5092.7+U	45	-1	PLACED
MR	193	82	Pb	5	7	5825.3+V	49	-1	PLACED
MR	194	82	Pb	1	19	4642.3	30	1	PLACED
MR	194	82	Pb	2	11	4640.7	30	1	PLACED
MR	194	82	Pb	3	0				NO-SPIN
MR	194	82	Pb	4	14	4985.7	34	-1	PLACED
MR	194	82	Pb	5	12	5993.0	40	-1	PLACED
MR	194	82	Pb	6	6	4264.6	28	-1	PLACED
MR	194	82	Pb	7	8	6307.9	42	-1	PLACED
MR	195	82	Pb	1	7	2968.3	27	-1	PLACED
MR	195	82	Pb	2	9	5132.6	39	-1	PLACED
MR	195	82	Pb	3	11	4465.6	33	-1	PLACED
MR	196	82	Pb	1	16	4385.0	28	-1	PLACED
MR	196	82	Pb	2	14	4658.2	28	1	PLACED
MR	196	82	Pb	3	20	4995.4	34	1	PLACED
MR	196	82	Pb	4	21	5155.3	32	-1	PLACED
MR	196	82	Pb	5	9	5265.4	32	-1	PLACED
MR	196	82	Pb	6	16	5886.6	36	-1	PLACED
MR	196	82	Pb	7	13	6780.1	44	1	PLACED
MR	196	82	Pb	8	9	7912.0	52	1	PLACED
MR	196	82	Pb	9	0				NO-SPIN
MR	197	82	Pb	1	20	3283.4	27	-1	PLACED
MR	197	82	Pb	2	15	4794.0	37	1	PLACED
MR	197	82	Pb	3	12	5232.6	39	1	PLACED
MR	197	82	Pb	4	11	6014.1	43	-1	PLACED
MR	197	82	Pb	5	9	6262.6	45	1	PLACED
MR	198	82	Pb	1	22	4883.0	28	1	PLACED
MR	198	82	Pb	2	8	6519.1	40	-1	PLACED
MR	198	82	Pb	3	19	5379.0	32	-1	PLACED
MR	198	82	Pb	4	10	(6393.8)	36	-1	PLACED
MR	198	82	Pb	5	10	7333.4	46	1	PLACED
MR	199	82	Pb	1	20	3584.9+X	25	-1	PLACED
MR	199	82	Pb	2	20	Y	35	1	PLACED
MR	199	82	Pb	3	10	Z	39	1	PLACED
MR	199	82	Pb	4	0				NO-SPIN
MR	199	82	Pb	5	0				NO-SPIN
MR	200	82	Pb	1	0				NO-SPIN
MR	200	82	Pb	2	0				NO-SPIN
MR	200	82	Pb	3	0				NO-SPIN
MR	201	82	Pb	1	0				NO-SPIN
MR	201	82	Pb	2	9	6146.0+Y	35		PLACED
MR	201	82	Pb	3	0				NO-SPIN
MR	201	82	Pb	4	0				NO-SPIN
MR	201	82	Pb	5	0				NO-SPIN
MR	202	82	Pb	1	0				NO-SPIN
MR	202	82	Pb	2	0				NO-SPIN
MR	194	83	Bi	1	4	2428	32	1	PLACED
MR	194	83	Bi	2	12	X	32		PLACED
MR	194	83	Bi	3	0				NO-SPIN
MR	195	83	Bi	1	6	3409	33	-1	PLACED
MR	197	83	Bi	1	8	4019.2	37		PLACED
MR	198	83	Bi	1	9	3635.8+X	38	1	PLACED
MR	198	83	Bi	2	9	2596.0+Y	34	-1	PLACED
MR	198	83	Bi	3	7	(2290+Z)	32	1	PLACED
MR	198	83	Bi	4	0				NO-SPIN
MR	199	83	Bi	1	0				NO-SPIN
MR	200	83	Bi	1	0				NO-SPIN
MR	200	83	Bi	2	0				NO-SPIN
MR	202	83	Bi	1	0				NO-SPIN
MR	202	83	Bi	2	0				NO-SPIN
MR	202	83	Bi	3	0				NO-SPIN
MR	203	83	Bi	1	0				NO-SPIN
MR	201	85	At	1	8	(2290)	23	-1	PLACED
MR	203	85	At	1	10	(3486)	27	1	PLACED
MR	204	85	At	1	0				NO-SPIN
MR	205	86	Rn	1	11	1680.0+X	21	1	PLACED
MR	206	87	Fr	1	0				NO-SPIN
AMR	58	26	Fe	1	6	5086.7	12		PLACED
AMR	58	26	Fe	2	4	8424.1	20	1	PLACED
AMR	61	28	Ni	1	5	3297.6	11	1	PLACED
AMR	99	46	Pd	1	7	4014	23	-1	PLACED
AMR	100	46	Pd	1	7	5666	26	-1	PLACED
AMR	101	46	Pd	1	6	4442	27	-1	PLACED
AMR	102	46	Pd	1	8	8419	36	1	PLACED
AMR	103	46	Pd	1	8	2823	23	-1	PLACED
AMR	103	46	Pd	2	11	4160	25	1	PLACED
AMR	103	46	Pd	3	9	4587	27	1	PLACED
AMR	104	46	Pd	1	6	6360	32	1	PLACED
AMR	105	46	Pd	1	8	3874	27	1	PLACED
