# arXiv:2303.13849 -- Teng & Ma, Magnetic and antimagnetic rotational bands data tables
# one row per band member carrying an I^pi.  2I is doubled so a
# half-integer spin stays an integer.  par blank = no parity printed.
table	A	Z	el	band	E_keV	2I	par
MR	58	26	Fe	1	7657.8	16	
MR	58	26	Fe	1	8041.9	18	
MR	58	26	Fe	1	8540.0	20	
MR	58	26	Fe	1	9163.6	22	
MR	58	26	Fe	1	9924.7	24	
MR	58	26	Fe	1	10952.4	26	
MR	58	26	Fe	1	12017.0	28	
MR	58	26	Fe	1	13173.4	30	
MR	58	26	Fe	2	7524.2	16	
MR	58	26	Fe	2	7915.7	18	
MR	58	26	Fe	2	8428.9	20	
MR	58	26	Fe	2	9174.6	22	
MR	58	26	Fe	2	10130.5	24	
MR	61	27	Co	1	3909.5	13	-1
MR	61	27	Co	1	4116.5	15	-1
MR	61	27	Co	1	4385.9	17	-1
MR	61	27	Co	1	5117.6	19	-1
MR	61	27	Co	1	6065.9	21	-1
MR	61	27	Co	1	7173.9	23	-1
MR	61	27	Co	2	3472.3	13	-1
MR	61	27	Co	2	3657.5	15	-1
MR	61	27	Co	2	4093.2	17	-1
MR	61	27	Co	2	4802.9	19	-1
MR	61	27	Co	2	5832.0	21	-1
MR	61	27	Co	2	6892.9	23	-1
MR	61	27	Co	2	8212.3	25	-1
MR	61	27	Co	2	9672.3	27	-1
MR	61	27	Co	3	4484.7	15	-1
MR	61	27	Co	3	4870.5	17	-1
MR	61	27	Co	3	5345.5	19	-1
MR	61	27	Co	3	5954.5	21	-1
MR	61	27	Co	3	6748.2	23	-1
MR	61	27	Co	3	7700.9	25	-1
MR	61	27	Co	4	5723.7	17	-1
MR	61	27	Co	4	6168.7	19	-1
MR	61	27	Co	4	6708.8	21	-1
MR	61	27	Co	4	7504.5	23	-1
MR	61	27	Co	4	8406.8	25	-1
MR	61	27	Co	4	9391.2	27	-1
MR	60	28	Ni	1	8044.1	18	-1
MR	60	28	Ni	1	8520.5	20	-1
MR	60	28	Ni	1	9132.2	22	-1
MR	60	28	Ni	1	9989.3	24	-1
MR	60	28	Ni	1	11112.8	26	-1
MR	60	28	Ni	1	12273.8	28	-1
MR	60	28	Ni	1	13810.0	30	-1
MR	60	28	Ni	2	11255.0	24	1
MR	60	28	Ni	2	11851.2	26	1
MR	60	28	Ni	2	12578.4	28	1
MR	60	28	Ni	2	13662.3	30	1
MR	60	28	Ni	2	14803.0	32	1
MR	60	28	Ni	2	16097.8	34	1
MR	60	28	Ni	3	11224.8	22	1
MR	60	28	Ni	3	11785.5	24	1
MR	60	28	Ni	3	12486.1	26	1
MR	60	28	Ni	3	13353.0	28	1
MR	60	28	Ni	3	14201.0	30	1
MR	60	28	Ni	3	15164.6	32	1
MR	60	28	Ni	3	16241.6	34	1
MR	60	28	Ni	4	8485.3	18	-1
MR	60	28	Ni	4	9122.8	20	-1
MR	60	28	Ni	4	9960.0	22	-1
MR	60	28	Ni	4	10788.6	24	-1
MR	60	28	Ni	4	11552.8	26	-1
MR	61	28	Ni	1	5146.1	15	1
MR	61	28	Ni	1	5629.6	17	1
MR	61	28	Ni	1	6191.7	19	1
MR	61	28	Ni	1	6969.7	21	1
MR	61	28	Ni	1	7789.5	23	1
MR	61	28	Ni	1	8662.8	25	1
MR	77	35	Br	1	2931.6	17	-1
MR	77	35	Br	1	3219.6	19	-1
MR	77	35	Br	1	3609.9	21	-1
MR	77	35	Br	1	4149.8	23	-1
MR	79	35	Br	1	2393	13	-1
MR	79	35	Br	1	2580	15	-1
MR	79	35	Br	1	2774	17	-1
MR	79	35	Br	1	3088	19	-1
MR	79	35	Br	1	3535	21	-1
MR	79	35	Br	1	4153	23	-1
MR	79	35	Br	1	4803	25	-1
MR	79	35	Br	1	5579	27	-1
MR	79	35	Br	1	6384	29	-1
MR	81	35	Br	1	2549.4	13	-1
MR	81	35	Br	1	2668.5	15	-1
MR	81	35	Br	1	2942.1	17	-1
MR	81	35	Br	1	3333.5	19	-1
MR	81	35	Br	1	3798.7	21	-1
MR	79	36	Kr	1	2857.0	17	-1
MR	79	36	Kr	1	3214.3	19	-1
MR	79	36	Kr	1	3585.5	21	-1
MR	79	36	Kr	1	4133.0	23	-1
MR	81	36	Kr	1	2418.4	13	-1
MR	81	36	Kr	1	2531.1	15	-1
