# Review of Particle Physics, Particle Data Group -- Takahashi et al., Int. J. Mod. Phys. A 41, 2630011 (2026)
# via scikit-hep particle 1.0.1
# source md5  mass_width_2026.txt    e96a23be061430adc72d5b2ea5a93764
# source md5  particle2026.csv       b6f460a16e4cd93a5cc721f3aee1d6c2
# excluded: nuclei (the periodic elements, seated as gravity) and PDG status 4 NotInPDT (fourth generation and diquarks)
# '?' means the quantity is NOT DEFINED or not known -- it is never a value
# rows 572
pdgid	name	family	J2	P	C	I2	G	Q3	anti	quarks	mass_MeV	width_MeV	status	rank
-204126	Lambda(c)(2880)~-	baryon	5	-1	?	0	?	-3	1	UDC	2881.63	5.6	0	3
-203338	Omega(2250)~+	baryon	7	?	?	0	?	3	1	SSS	2252	55	0	3
-203326	Xi(2030)~0	baryon	5	?	?	1	?	0	1	USS	2025	20	1	3
-203322	Xi(1690)~0	baryon	1	?	?	1	?	0	1	USS	1690	20	1	3
-203316	Xi(2030)~+	baryon	5	?	?	1	?	3	1	DSS	2025	20	1	3
-203312	Xi(1690)~+	baryon	1	?	?	1	?	3	1	DSS	1690	20	1	3
-104324	Xi(c)(2790)~-	baryon	3	1	?	1	?	-3	1	USC	2792	8.9	0	3
-104322	Xi(c)(2815)~-	baryon	1	1	?	1	?	-3	1	USC	2816.6	2.15	0	3
-104314	Xi(c)(2790)~0	baryon	3	1	?	1	?	0	1	DSC	2794	10	0	3
-104312	Xi(c)(2815)~0	baryon	1	1	?	1	?	0	1	DSC	2819.85	2.54	0	3
-104122	Lambda(c)(2625)~-	baryon	1	1	?	0	?	-3	1	UDC	2628	?	0	3
-103326	Xi(1950)~0	baryon	5	?	?	1	?	0	1	USS	1950	60	1	3
-103316	Xi(1950)~+	baryon	5	?	?	1	?	3	1	DSS	1950	60	1	3
-53122	Lambda(1810)~	baryon	1	-1	?	0	?	0	1	UDS	1790	110	1	3
-43122	Lambda(1800)~	baryon	1	1	?	0	?	0	1	UDS	1800	200	1	3
-42212	N(1710)~-	baryon	1	-1	?	1	?	-3	1	UUD	1710	140	1	3
-42112	N(1710)~0	baryon	1	-1	?	1	?	0	1	UDD	1710	140	1	3
-33122	Lambda(1670)~	baryon	1	1	?	0	?	0	1	UDS	1674	30	1	4
-32224	Delta(1600)~--	baryon	3	-1	?	3	?	-6	1	UUU	1570	250	0	3
-32214	Delta(1600)~-	baryon	3	-1	?	3	?	-3	1	UUD	1570	250	0	3
-32212	N(1650)~-	baryon	1	1	?	1	?	-3	1	UUD	1650	125	1	4
-32124	N(1720)~-	baryon	3	-1	?	1	?	-3	1	UUD	1720	250	1	4
-32114	Delta(1600)~0	baryon	3	-1	?	3	?	0	1	UDD	1570	250	0	3
-32112	N(1650)~0	baryon	1	1	?	1	?	0	1	UDD	1650	125	1	4
-31214	N(1720)~0	baryon	3	-1	?	1	?	0	1	UDD	1720	250	1	4
-31114	Delta(1600)~+	baryon	3	-1	?	3	?	3	1	DDD	1570	250	0	3
-23224	Sigma(1910)~-	baryon	3	1	?	2	?	-3	1	UUS	1910	220	1	3
-23222	Sigma(1750)~-	baryon	1	1	?	2	?	-3	1	UUS	1750	150	1	3
