# Phonon symmetry content of 12 crystals at their high-symmetry k-points.
# COMPUTED.  No published decomposition is read; section 3 of the write-up
# compares against them.
crystal	sg	atoms	k	k_frac	pk_order	N	ghat_order	modes	decomposition
diamond C / Si	227	2	Gamma	0,0,0	48	1	48	6	1x(dim 3) + 1x(dim 3)
diamond C / Si	227	2	X	1/2,1/2,0	16	2	32	6	1x(dim 2) + 1x(dim 2) + 1x(dim 2)
diamond C / Si	227	2	L	1/2,1/2,1/2	12	2	24	6	1x(dim 1) + 1x(dim 1) + 1x(dim 2) + 1x(dim 2)
diamond C / Si	227	2	W	1/4,1/2,3/4	8	4	32	6	2x(dim 2) + 1x(dim 2)
NaCl rocksalt	225	2	Gamma	0,0,0	48	1	48	6	2x(dim 3)
NaCl rocksalt	225	2	X	1/2,1/2,0	16	2	32	6	2x(dim 1) + 2x(dim 2)
NaCl rocksalt	225	2	L	1/2,1/2,1/2	12	2	24	6	1x(dim 1) + 1x(dim 1) + 1x(dim 2) + 1x(dim 2)
GaAs zincblende	216	2	Gamma	0,0,0	24	1	24	6	2x(dim 3)
GaAs zincblende	216	2	X	1/2,1/2,0	8	2	16	6	1x(dim 1) + 1x(dim 1) + 2x(dim 2)
GaAs zincblende	216	2	L	1/2,1/2,1/2	6	2	12	6	2x(dim 1) + 2x(dim 2)
CaF2 fluorite	225	3	Gamma	0,0,0	48	1	48	9	2x(dim 3) + 1x(dim 3)
CaF2 fluorite	225	3	X	1/2,1/2,0	16	2	32	9	1x(dim 1) + 1x(dim 1) + 1x(dim 1) + 2x(dim 2) + 1x(dim 2)
CaF2 fluorite	225	3	L	1/2,1/2,1/2	12	2	24	9	2x(dim 1) + 1x(dim 1) + 2x(dim 2) + 1x(dim 2)
CsCl	221	2	Gamma	0,0,0	48	1	48	6	2x(dim 3)
CsCl	221	2	X	1/2,0,0	16	2	32	6	1x(dim 1) + 1x(dim 1) + 1x(dim 2) + 1x(dim 2)
CsCl	221	2	M	1/2,1/2,0	16	2	32	6	1x(dim 1) + 1x(dim 1) + 2x(dim 2)
CsCl	221	2	R	1/2,1/2,1/2	48	2	96	6	1x(dim 3) + 1x(dim 3)
SrTiO3 perovskite	221	5	Gamma	0,0,0	48	1	48	15	1x(dim 3) + 4x(dim 3)
SrTiO3 perovskite	221	5	X	1/2,0,0	16	2	32	15	2x(dim 1) + 1x(dim 1) + 2x(dim 1) + 2x(dim 2) + 3x(dim 2)
SrTiO3 perovskite	221	5	M	1/2,1/2,0	16	2	32	15	2x(dim 1) + 1x(dim 1) + 1x(dim 1) + 1x(dim 1) + 1x(dim 1) + 1x(dim 1) + 3x(dim 2) + 1x(dim 2)
SrTiO3 perovskite	221	5	R	1/2,1/2,1/2	48	2	96	15	1x(dim 1) + 1x(dim 2) + 1x(dim 3) + 2x(dim 3) + 1x(dim 3)
W bcc	229	1	Gamma	0,0,0	48	1	48	3	1x(dim 3)
W bcc	229	1	H	1/2,1/2,1/2	48	2	96	3	1x(dim 3)
W bcc	229	1	N	1/2,0,0	8	2	16	3	1x(dim 1) + 1x(dim 1) + 1x(dim 1)
W bcc	229	1	P	1/4,1/4,1/4	24	4	96	3	1x(dim 3)
graphite 2H	194	4	Gamma	0,0,0	24	1	24	12	2x(dim 1) + 2x(dim 1) + 2x(dim 2) + 2x(dim 2)
graphite 2H	194	4	A	0,0,1/2	24	2	48	12	2x(dim 2) + 2x(dim 4)
graphite 2H	194	4	M	1/2,0,0	8	2	16	12	2x(dim 1) + 2x(dim 1) + 2x(dim 1) + 2x(dim 1) + 2x(dim 1) + 2x(dim 1)
graphite 2H	194	4	K	1/3,1/3,0	12	3	36	12	1x(dim 1) + 1x(dim 1) + 1x(dim 1) + 1x(dim 1) + 3x(dim 2) + 1x(dim 2)
