sg	system	pg_order	little_group	star	factor_order	n_small_reps	max_dim	dims
2	triclinic	2	2	1	1	2	1	1+1
2	triclinic	2	2	1	1	2	1	1+1
2	triclinic	2	2	1	1	2	1	1+1
2	triclinic	2	2	1	1	2	1	1+1
2	triclinic	2	2	1	1	2	1	1+1
2	triclinic	2	2	1	1	2	1	1+1
2	triclinic	2	2	1	1	2	1	1+1
2	triclinic	2	2	1	1	2	1	1+1
10	monoclinic	4	4	1	1	4	1	1+1+1+1
10	monoclinic	4	4	1	1	4	1	1+1+1+1
10	monoclinic	4	4	1	1	4	1	1+1+1+1
10	monoclinic	4	4	1	1	4	1	1+1+1+1
10	monoclinic	4	4	1	1	4	1	1+1+1+1
10	monoclinic	4	4	1	1	4	1	1+1+1+1
10	monoclinic	4	4	1	1	4	1	1+1+1+1
10	monoclinic	4	4	1	1	4	1	1+1+1+1
11	monoclinic	4	4	1	1	4	1	1+1+1+1
11	monoclinic	4	4	1	1	4	1	1+1+1+1
11	monoclinic	4	4	1	2	1	2	2
11	monoclinic	4	4	1	2	1	2	2
11	monoclinic	4	4	1	1	4	1	1+1+1+1
11	monoclinic	4	4	1	1	4	1	1+1+1+1
11	monoclinic	4	4	1	2	1	2	2
11	monoclinic	4	4	1	2	1	2	2
12	monoclinic	4	4	1	1	4	1	1+1+1+1
12	monoclinic	4	4	1	1	4	1	1+1+1+1
12	monoclinic	4	4	1	1	4	1	1+1+1+1
12	monoclinic	4	4	1	1	4	1	1+1+1+1
12	monoclinic	4	2	2	1	2	1	1+1
12	monoclinic	4	2	2	1	2	1	1+1
13	monoclinic	4	4	1	1	4	1	1+1+1+1
13	monoclinic	4	4	1	2	1	2	2
13	monoclinic	4	4	1	1	4	1	1+1+1+1
13	monoclinic	4	4	1	2	1	2	2
13	monoclinic	4	4	1	1	4	1	1+1+1+1
13	monoclinic	4	4	1	2	1	2	2
13	monoclinic	4	4	1	1	4	1	1+1+1+1
13	monoclinic	4	4	1	2	1	2	2
14	monoclinic	4	4	1	1	4	1	1+1+1+1
14	monoclinic	4	4	1	2	1	2	2
14	monoclinic	4	4	1	2	1	2	2
14	monoclinic	4	4	1	2	4	1	1+1+1+1
14	monoclinic	4	4	1	1	4	1	1+1+1+1
14	monoclinic	4	4	1	2	1	2	2
14	monoclinic	4	4	1	2	1	2	2
14	monoclinic	4	4	1	2	4	1	1+1+1+1
15	monoclinic	4	4	1	1	4	1	1+1+1+1
15	monoclinic	4	4	1	2	1	2	2
15	monoclinic	4	4	1	1	4	1	1+1+1+1
15	monoclinic	4	4	1	2	1	2	2
15	monoclinic	4	2	2	1	2	1	1+1
15	monoclinic	4	2	2	1	2	1	1+1
16	orthorhombic	4	4	1	1	4	1	1+1+1+1
