# Gamma-point phonon symmetry content of EVERY site-symmetry type in
# all 230 crystallographic space groups.  1,120 members.
# COMPUTED end to end.  spglib 2.7.0 supplies the space-group operations;
# the conventional setting is transformed to the PRIMITIVE basis (one
# translation per rotation); site-symmetry subgroups are found as point
# stabilisers on a 1/12 rational grid and grouped by conjugacy; the point
# group's CHARACTER TABLE is computed by Burnside's class-algebra method
# and validated (integral dims, sum(dim^2)=|G|, row orthonormality); the
# mechanical representation chi(R,t) = N_fixed(R,t) tr(R) is decomposed by
# orthogonality.  NO TEXTBOOK CHARACTER TABLE AND NO WYCKOFF TABLE IS READ.
# Every row satisfies: integral multiplicities, and modes = 3 x multiplicity.
# decomposition is 'mult x dim' terms, e.g. 1x3+1x3 = two distinct triplets.
sg	system	pg_order	site_order	multiplicity	modes	n_irreps	decomposition
1	triclinic	1	1	1	3	1	3x1
2	triclinic	2	2	1	3	1	3x1
2	triclinic	2	1	2	6	2	3x1+3x1
3	monoclinic	2	2	1	3	2	2x1+1x1
3	monoclinic	2	1	2	6	2	3x1+3x1
4	monoclinic	2	1	2	6	2	3x1+3x1
5	monoclinic	2	2	1	3	2	2x1+1x1
5	monoclinic	2	1	2	6	2	3x1+3x1
6	monoclinic	2	2	1	3	2	1x1+2x1
6	monoclinic	2	1	2	6	2	3x1+3x1
7	monoclinic	2	1	2	6	2	3x1+3x1
8	monoclinic	2	2	1	3	2	1x1+2x1
8	monoclinic	2	1	2	6	2	3x1+3x1
9	monoclinic	2	1	2	6	2	3x1+3x1
10	monoclinic	4	4	1	3	2	2x1+1x1
10	monoclinic	4	2	2	6	4	2x1+1x1+2x1+1x1
10	monoclinic	4	2	2	6	4	2x1+1x1+1x1+2x1
10	monoclinic	4	1	4	12	4	3x1+3x1+3x1+3x1
11	monoclinic	4	2	2	6	2	3x1+3x1
11	monoclinic	4	2	2	6	4	2x1+1x1+1x1+2x1
11	monoclinic	4	1	4	12	4	3x1+3x1+3x1+3x1
12	monoclinic	4	4	1	3	2	2x1+1x1
12	monoclinic	4	2	2	6	2	3x1+3x1
12	monoclinic	4	2	2	6	4	2x1+1x1+2x1+1x1
12	monoclinic	4	2	2	6	4	2x1+1x1+1x1+2x1
12	monoclinic	4	1	4	12	4	3x1+3x1+3x1+3x1
13	monoclinic	4	2	2	6	2	3x1+3x1
13	monoclinic	4	2	2	6	4	2x1+1x1+2x1+1x1
13	monoclinic	4	1	4	12	4	3x1+3x1+3x1+3x1
14	monoclinic	4	2	2	6	2	3x1+3x1
14	monoclinic	4	1	4	12	4	3x1+3x1+3x1+3x1
15	monoclinic	4	2	2	6	2	3x1+3x1
15	monoclinic	4	2	2	6	4	2x1+1x1+2x1+1x1
15	monoclinic	4	1	4	12	4	3x1+3x1+3x1+3x1
16	orthorhombic	4	4	1	3	3	1x1+1x1+1x1
16	orthorhombic	4	2	2	6	4	2x1+2x1+1x1+1x1
16	orthorhombic	4	2	2	6	4	2x1+1x1+2x1+1x1
16	orthorhombic	4	2	2	6	4	1x1+2x1+2x1+1x1
16	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
17	orthorhombic	4	2	2	6	4	2x1+1x1+2x1+1x1
17	orthorhombic	4	2	2	6	4	1x1+2x1+2x1+1x1
17	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
18	orthorhombic	4	2	2	6	4	2x1+2x1+1x1+1x1
18	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
19	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
20	orthorhombic	4	2	2	6	4	2x1+1x1+2x1+1x1
20	orthorhombic	4	2	2	6	4	1x1+2x1+2x1+1x1
20	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
21	orthorhombic	4	4	1	3	3	1x1+1x1+1x1
21	orthorhombic	4	2	2	6	4	2x1+2x1+1x1+1x1
21	orthorhombic	4	2	2	6	4	2x1+1x1+2x1+1x1
21	orthorhombic	4	2	2	6	4	1x1+2x1+2x1+1x1
21	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
22	orthorhombic	4	4	1	3	3	1x1+1x1+1x1
22	orthorhombic	4	2	2	6	4	2x1+2x1+1x1+1x1
22	orthorhombic	4	2	2	6	4	2x1+1x1+2x1+1x1
22	orthorhombic	4	2	2	6	4	1x1+2x1+2x1+1x1
22	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
23	orthorhombic	4	4	1	3	3	1x1+1x1+1x1
23	orthorhombic	4	2	2	6	4	2x1+2x1+1x1+1x1
23	orthorhombic	4	2	2	6	4	2x1+1x1+2x1+1x1
23	orthorhombic	4	2	2	6	4	1x1+2x1+2x1+1x1
23	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
24	orthorhombic	4	2	2	6	4	2x1+2x1+1x1+1x1
24	orthorhombic	4	2	2	6	4	2x1+1x1+2x1+1x1
24	orthorhombic	4	2	2	6	4	1x1+2x1+2x1+1x1
24	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
25	orthorhombic	4	4	1	3	3	1x1+1x1+1x1
25	orthorhombic	4	2	2	6	4	1x1+2x1+1x1+2x1
25	orthorhombic	4	2	2	6	4	2x1+1x1+1x1+2x1
25	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
26	orthorhombic	4	2	2	6	4	1x1+2x1+1x1+2x1
26	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
27	orthorhombic	4	2	2	6	4	2x1+2x1+1x1+1x1
27	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
28	orthorhombic	4	2	2	6	4	2x1+2x1+1x1+1x1
28	orthorhombic	4	2	2	6	4	1x1+2x1+1x1+2x1
28	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
29	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
30	orthorhombic	4	2	2	6	4	2x1+2x1+1x1+1x1
30	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
31	orthorhombic	4	2	2	6	4	1x1+2x1+1x1+2x1
31	orthorhombic	4	1	4	12	4	3x1+3x1+3x1+3x1
