# The crystallographic space groups, International Tables for Crystallography Vol. A
# via spglib 2.7.0 -- pip install spglib, NOT vendored
# derived md5  e7d9d026bcd9e2adbf2df6aafeb581eb
# a space group carries NO quantum numbers and is never seated as an index
# rows 230
number	international	schoenflies	pointgroup	arithmetic_class	arithmetic_symbol	hall_count
1	P1	C1^1	1	1	1P	1
2	P-1	Ci^1	-1	2	-1P	1
3	P2	C2^1	2	3	2P	3
4	P2_1	C2^2	2	3	2P	3
5	C2	C2^3	2	4	2C	9
6	Pm	Cs^1	m	5	mP	3
7	Pc	Cs^2	m	5	mP	9
8	Cm	Cs^3	m	6	mC	9
9	Cc	Cs^4	m	6	mC	18
10	P2/m	C2h^1	2/m	7	2/mP	3
11	P2_1/m	C2h^2	2/m	7	2/mP	3
12	C2/m	C2h^3	2/m	8	2/mC	9
13	P2/c	C2h^4	2/m	7	2/mP	9
14	P2_1/c	C2h^5	2/m	7	2/mP	9
15	C2/c	C2h^6	2/m	8	2/mC	18
16	P222	D2^1	222	9	222P	1
17	P222_1	D2^2	222	9	222P	3
18	P2_12_12	D2^3	222	9	222P	3
19	P2_12_12_1	D2^4	222	9	222P	1
20	C222_1	D2^5	222	10	222C	3
21	C222	D2^6	222	10	222C	3
22	F222	D2^7	222	11	222F	1
23	I222	D2^8	222	12	222I	1
24	I2_12_12_1	D2^9	222	12	222I	1
25	Pmm2	C2v^1	mm2	13	mm2P	3
26	Pmc2_1	C2v^2	mm2	13	mm2P	6
27	Pcc2	C2v^3	mm2	13	mm2P	3
28	Pma2	C2v^4	mm2	13	mm2P	6
29	Pca2_1	C2v^5	mm2	13	mm2P	6
30	Pnc2	C2v^6	mm2	13	mm2P	6
31	Pmn2_1	C2v^7	mm2	13	mm2P	6
32	Pba2	C2v^8	mm2	13	mm2P	3
33	Pna2_1	C2v^9	mm2	13	mm2P	6
34	Pnn2	C2v^10	mm2	13	mm2P	3
35	Cmm2	C2v^11	mm2	14	mm2C	3
36	Cmc2_1	C2v^12	mm2	14	mm2C	6
37	Ccc2	C2v^13	mm2	14	mm2C	3
38	Amm2	C2v^14	mm2	15	2mmC	6
39	Aem2	C2v^15	mm2	15	2mmC	6
40	Ama2	C2v^16	mm2	15	2mmC	6
41	Aea2	C2v^17	mm2	15	2mmC	6
42	Fmm2	C2v^18	mm2	16	mm2F	3
43	Fdd2	C2v^19	mm2	16	mm2F	3
44	Imm2	C2v^20	mm2	17	mm2I	3
45	Iba2	C2v^21	mm2	17	mm2I	3
46	Ima2	C2v^22	mm2	17	mm2I	6
47	Pmmm	D2h^1	mmm	18	mmmP	1
48	Pnnn	D2h^2	mmm	18	mmmP	2
49	Pccm	D2h^3	mmm	18	mmmP	3
50	Pban	D2h^4	mmm	18	mmmP	6
51	Pmma	D2h^5	mmm	18	mmmP	6
52	Pnna	D2h^6	mmm	18	mmmP	6
53	Pmna	D2h^7	mmm	18	mmmP	6
54	Pcca	D2h^8	mmm	18	mmmP	6
55	Pbam	D2h^9	mmm	18	mmmP	3
56	Pccn	D2h^10	mmm	18	mmmP	3
57	Pbcm	D2h^11	mmm	18	mmmP	6
58	Pnnm	D2h^12	mmm	18	mmmP	3
59	Pmmn	D2h^13	mmm	18	mmmP	6
60	Pbcn	D2h^14	mmm	18	mmmP	6
61	Pbca	D2h^15	mmm	18	mmmP	2
62	Pnma	D2h^16	mmm	18	mmmP	6
63	Cmcm	D2h^17	mmm	19	mmmC	6
64	Cmce	D2h^18	mmm	19	mmmC	6
65	Cmmm	D2h^19	mmm	19	mmmC	3
66	Cccm	D2h^20	mmm	19	mmmC	3
67	Cmme	D2h^21	mmm	19	mmmC	6
68	Ccce	D2h^22	mmm	19	mmmC	12
69	Fmmm	D2h^23	mmm	20	mmmF	1
70	Fddd	D2h^24	mmm	20	mmmF	2
71	Immm	D2h^25	mmm	21	mmmI	1
72	Ibam	D2h^26	mmm	21	mmmI	3
73	Ibca	D2h^27	mmm	21	mmmI	2
74	Imma	D2h^28	mmm	21	mmmI	6
